,l0,l1,l2,alpha
73,0.030669679194539834,0.1941932312354604,0.5808296470833478,0.4377494679936011
74,0.03093509368888081,0.19659582310071508,0.5846865351146847,0.43826363065132434
75,0.031189570320101112,0.19773300326936774,0.5979107137845256,0.43921901434118277
76,0.0319507557135667,0.19803622532826565,0.5988080649517423,0.44059493638584685
77,0.03241775112883105,0.19843234735629992,0.603468455876587,0.4406285333438723
78,0.032817610782155074,0.19888212430495167,0.60831377845427,0.4414217990457453
79,0.03456720584792547,0.1992659466377874,0.6099644498448836,0.44195999446468925
80,0.03747731300091323,0.19933780621989394,0.6164391316410753,0.44288946252308337
81,0.037495893443393644,0.19961014923843717,0.6178075255696729,0.44378356036169253
82,0.03905213800274909,0.20261138303261236,0.6209374650593196,0.44412305736227736
